STATEFP,SCSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ELSDLEA,UNSDLEA,NPR_AllDistricts_3.24.16_NCES_ID_ORIG,NPR_AllDistricts_3.24.16_District Name,NPR_AllDistricts_3.24.16_State Name,NPR_AllDistricts_3.24.16_City Name,NPR_AllDistricts_3.24.16_ENROLLMENT (Number of students enrolled in district):2013,NPR_AllDistricts_3.24.16_Raw per-pupil expenditures for district:2013,"NPR_AllDistricts_3.24.16_Per-pupil expenditures for district, adjusted by regional cost differences:2013",NPR_AllDistricts_3.24.16_color_bin_orig,NPR_AllDistricts_3.24.16_color_bin
46,,4650850,Newell School District 09-2,00,PK,12,G5420,,E,3414864620,12324057,+44.8946488,-103.3346902,,50850,4650850,NEWELL SCHOOL DISTRICT 9-2,SD,NEWELL,351,8079.77207977208,8376.60601218743,,bin2
46,,4651750,Northwestern Area School District 56-7,00,PK,12,G5420,,E,1720066725,14227663,+45.1366290,-098.5288451,,51750,4651750,NORTHWESTERN SCHOOL DISTRICT 56-7,SD,MELLETTE,280,9082.14285714286,9460.35154235818,,bin2
46,,4652770,Oelrichs School District 23-3,00,KG,12,G5420,,E,1455764545,1558427,+43.1660427,-103.2342805,,52770,4652770,OELRICHS SCHOOL DISTRICT 23-3,SD,OELRICHS,115,17504.347826087,18147.4209658097,,bin5
46,,4654270,Parker School District 60-4,00,PK,12,G5420,,E,357029374,204043,+43.4384671,-097.0919736,,54270,4654270,PARKER SCHOOL DISTRICT 60-4,SD,PARKER,369,7718.15718157182,7265.87875216908,,bin1
46,,4654300,Parkston School District 33-3,00,PK,12,G5420,,E,795267495,1125516,+43.4123654,-097.9553543,,54300,4654300,PARKSTON SCHOOL DISTRICT 33-3,SD,PARKSTON,587,8192.50425894378,8327.60666575345,,bin2
46,,4655260,Pierre School District 32-2,00,PK,12,G5420,,E,823241019,98030692,+44.4036750,-100.1831495,,55260,4655260,PIERRE SCHOOL DISTRICT 32-2,SD,PIERRE,2614,7338.56159143076,7459.58164856908,,bin1
46,,4655710,Plankinton School District 01-1,00,PK,12,G5420,,E,716757108,1685116,+43.7980116,-098.4761762,,55710,4655710,PLANKINTON SCHOOL DISTRICT 1-1,SD,PLANKINTON,332,10792.1686746988,10970.1420899773,,bin2
46,,4659820,Rapid City School District 51-4,00,PK,12,G5420,,E,1085660522,861339,+43.9943044,-103.2059107,,59820,4659820,RAPID CITY AREA SCHOOL DISTRICT 51-4,SD,RAPID CITY,14000,8053,8130.93860913698,,bin2
46,,4660450,Redfield School District 56-4,00,PK,12,G5420,,E,1060357542,4638375,+44.8725406,-098.5947576,,60450,4660450,REDFIELD SCHOOL DISTRICT 56-4,SD,REDFIELD,648,8467.59259259259,8820.20949278424,,bin2
46,,4663360,Rosholt School District 54-4,00,PK,12,G5420,,E,432050316,16930927,+45.8417327,-096.7196123,,63360,4663360,ROSHOLT SCHOOL DISTRICT 54-4,SD,ROSHOLT,223,8852.01793721973,9220.64350479768,,bin2
